date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
0.0,Austria,Italy,2,0,Friendly,Vienna,Austria,False
0.0,Argentina,Uruguay,2,1,Friendly,Avellaneda,Argentina,False
0.0,Argentina,Uruguay,4,0,Copa Lipton,Avellaneda,Argentina,False
0.0,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
0.0,Russia,Norway,1,1,Friendly,Moscow,Russia,False
0.0,Chile,Argentina,0,2,Friendly,Viña del Mar,Chile,False
0.0,Sweden,Denmark,0,10,Friendly,Stockholm,Sweden,False
0.0,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
0.0,Germany,Denmark,1,4,Friendly,Hamburg,Germany,False
0.0,Hungary,Austria,4,3,Friendly,Budapest,Hungary,False
0.0,Norway,Sweden,1,1,Friendly,Kristiania,Norway,False
0.0,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay,False
0.0,Belgium,Switzerland,2,0,Friendly,Verviers,Belgium,False
0.0,Belgium,Germany,6,2,Friendly,Antwerp,Belgium,False
0.0,Italy,Austria,0,0,Friendly,Milan,Italy,False
0.0,Wales,Northern Ireland,1,2,British Championship,Wrexham,Wales,False
0.0,France,Belgium,4,3,Friendly,Lille,France,False
0.0,Luxembourg,France,5,4,Friendly,Luxembourg,Luxembourg,False
0.0,England,Northern Ireland,0,3,British Championship,Middlesbrough,England,False
0.0,Scotland,Wales,0,0,British Championship,Glasgow,Scotland,False
0.0,France,Switzerland,2,2,Friendly,Saint-Ouen,France,False
0.0,Northern Ireland,Scotland,1,1,British Championship,Belfast,Republic of Ireland,False
0.0,Belgium,Netherlands,2,4,Friendly,Antwerp,Belgium,False
0.0,Wales,England,0,2,British Championship,Cardiff,Wales,False
0.0,Italy,France,2,0,Friendly,Turin,Italy,False
0.0,Italy,Switzerland,1,1,Friendly,Genoa,Italy,False
0.0,Netherlands,Germany,4,4,Friendly,Amsterdam,Netherlands,False
0.0,Netherlands,Belgium,4,2,Friendly,Amsterdam,Netherlands,False
0.0,Austria,Hungary,2,0,Friendly,Vienna,Austria,False
